             15	         O
        Arsenal	     S-ORG
           will	         O
           have	         O
             to	         O
        respond	         O
            now	         O
              .	         O
           City	     S-ORG
            set	         O
          their	         O
          stall	         O
            out	         O
             in	         O
            the	         O
        opening	         O
        minutes	         O
            and	         O
            now	         O
           have	         O
      something	         O
             to	         O
           show	         O
            for	         O
            it.	         O
            The	         O
        Gunners	         O
            may	         O
            rue	         O
       Wilshere	     S-LOC
             's	         O
           miss	         O
        moments	         O
        earlier	         O
            but	         O
           this	         O
             is	         O
             no	         O
           time	         O
            for	         O
       dwelling	         O
              !	         O

