             25	         O
          Silva	     S-PER
            and	         O
       Zabaleta	     S-PER
           link	         O
             up	         O
            now	         O
              ,	         O
          while	         O
           Yaya	     B-PER
          Toure	     E-PER
            and	         O
        Negredo	     S-PER
            are	         O
           also	         O
       involved	         O
              .	         O
            The	         O
           move	         O
           ends	         O
           with	         O
          Toure	     S-PER
        playing	         O
          Silva	     S-PER
           back	         O
             in	         O
              ,	         O
           with	         O
            the	         O
       Spaniard	    S-MISC
             's	         O
           shot	         O
        blocked	         O
           back	         O
           into	         O
            the	         O
        Ivorian	    S-MISC
             's	         O
           path	         O
            ...	         O

