             68	         O
       Wilshere	     S-PER
            has	         O
              a	         O
         strike	         O
             at	         O
           goal	         O
            but	         O
     Pantilimon	     S-PER
          beats	         O
             it	         O
           away	         O
              .	         O
        Arsenal	     S-ORG
            can	         O
             be	         O
        admired	         O
            for	         O
          their	         O
      attacking	         O
       approach	         O
            but	         O
            you	         O
            can	         O
             't	         O
           help	         O
            but	         O
           feel	         O
           that	         O
           this	         O
           game	         O
             is	         O
         beyond	         O
           them	         O
            now	         O
              .	         O

