             12	         O
             So	         O
            two	         O
           half	         O
              -	         O
        chances	         O
            for	         O
        Arsenal	     S-ORG
              ,	         O
       Wilshere	     S-PER
           with	         O
            the	         O
           best	         O
             of	         O
            the	         O
            two	         O
              .	         O
             He	         O
          tried	         O
             to	         O
          power	         O
            his	         O
           shot	         O
           home	         O
            but	         O
          could	         O
            not	         O
            get	         O
            the	         O
        contact	         O
          right	         O
              .	         O

