             88	         O
           Goal	         O
    Fernandinho	     B-LOC
         GOALLL	     I-LOC
              !	     I-LOC
           City	     E-LOC
             do	         O
           have	         O
              a	         O
          fifth	         O
              -	         O
            but	         O
             it	         O
             is	         O
    Fernandinho	    S-MISC
            who	         O
          fires	         O
           home	         O
              !	         O
          Nasri	     S-PER
          plays	         O
            the	         O
      Brazilian	    S-MISC
             in	         O
            and	         O
             he	         O
          beats	         O
    Mertesacker	     S-PER
             in	         O
            the	         O
            box	         O
            and	         O
       finishes	         O
           past	         O
       Szczesny	     S-PER
              .	         O
          Could	         O
           this	         O
         result	         O
           have	         O
              a	         O
            big	         O
         impact	         O
             on	         O
            the	         O
          title	         O
           race	         O
              ?	         O
             It	         O
             is	         O
      certainly	         O
              a	         O
     resounding	         O
           one.	         O

