             63	         O
           Goal	         O
           Theo	     B-PER
        Walcott	     E-PER
           GOAL	         O
              !	         O
             It	         O
             's	         O
        Walcott	     S-PER
          again	         O
              !	         O
           This	         O
            isn	         O
             't	         O
           over	         O
          quite	         O
            yet	         O
              !	         O
              A	         O
    sensational	         O
         effort	         O
           from	         O
            the	         O
        Arsenal	     S-ORG
        forward	         O
             as	         O
             he	         O
         shoots	         O
           from	         O
          range	         O
            and	         O
        catches	         O
     Pantilimon	     S-PER
           out.	         O
             We	         O
           have	         O
              a	         O
     grandstand	         O
         finish	         O
             on	         O
            our	         O
          hands	         O
              !	         O

