             40	         O
       Worrying	         O
          signs	         O
            for	         O
            the	         O
        Gunners	         O
             as	         O
            the	         O
       strecher	         O
          comes	         O
           out.	         O
             It	         O
          looks	         O
           like	         O
             it	         O
             's	         O
            the	         O
            end	         O
             of	         O
      Koscielny	     S-PER
             's	         O
          game.	         O

