             78	         O
            And	         O
          Toure	     S-PER
         almost	         O
       inspires	         O
        another	         O
         chance	         O
            for	         O
            the	         O
          hosts	         O
              ,	         O
         though	         O
          Nasri	         O
        dallies	         O
             on	         O
            the	         O
           ball	         O
            and	         O
           sees	         O
             it	         O
             go	         O
            off	         O
            for	         O
              a	         O
           goal	         O
           kick	         O
              .	         O

