             67	         O
           What	         O
              a	         O
           home	         O
         record	         O
           City	         O
        possess	         O
              .	         O
          Eight	         O
           wins	         O
            out	         O
             of	         O
          eight	         O
              (	         O
             as	         O
         things	         O
          stand	         O
              )	         O
              .	         O
           They	         O
            've	         O
            had	         O
            7-0	         O
            and	         O
            6-0	         O
           wins	         O
            and	         O
           also	         O
         beaten	         O
     Manchester	     B-ORG
         United	     E-ORG
            4-1	         O
             at	         O
            the	         O
         Etihad	    S-MISC
              .	         O
           This	         O
             is	         O
           just	         O
        another	         O
        feather	         O
             in	         O
          their	         O
           cap.	         O

