             73	         O
           SIDE	         O
              -	         O
        NETTING	         O
              !	         O
        Another	         O
         superb	         O
  counterattack	         O
           from	         O
     Manchester	     B-ORG
           City	     E-ORG
              -	         O
           they	         O
         really	         O
            are	         O
   irresistible	         O
             on	         O
           this	         O
           form	         O
              .	         O
            The	         O
           ball	         O
          comes	         O
             to	         O
          Navas	     S-PER
             as	         O
            the	         O
          hosts	         O
            end	         O
             up	         O
           with	         O
          three	         O
        against	         O
            two	         O
             in	         O
         attack	         O
              .	         O
            The	         O
       Spaniard	    S-MISC
            can	         O
           only	         O
           fire	         O
            the	         O
           ball	         O
           into	         O
            the	         O
           side	         O
              -	         O
        netting	         O
              ,	         O
         though	         O
              .	         O

