             42	         O
   Substitution	         O
        Laurent	     B-PER
      Koscielny	     I-PER
         Thomas	     I-PER
      Vermaelen	     E-PER
        Arsenal	     S-ORG
        captain	         O
         Thomas	     B-PER
      Vermaelen	     E-PER
          comes	         O
             on	         O
            for	         O
      Koscielny	    S-MISC
            but	         O
            how	         O
           will	         O
            the	         O
           away	         O
           side	         O
           cope	         O
           with	         O
          their	         O
            new	         O
    centre-back	         O
        pairing	         O
              ?	         O

