             57	         O
           This	         O
          score	         O
              -	         O
           line	         O
             is	         O
           good	         O
           news	         O
            for	         O
        Chelsea	     S-ORG
              ,	         O
            too	         O
              ,	         O
           with	         O
           Jose	     B-PER
       Mourinho	     E-PER
             's	         O
            men	         O
           able	         O
             to	         O
            cut	         O
            the	         O
            gap	         O
             to	         O
           just	         O
            two	         O
         points	         O
             if	         O
           they	         O
           beat	         O
        Crystal	     B-ORG
         Palace	     E-ORG
           this	         O
      afternoon	         O
              .	         O
         Crisis	         O
              ,	         O
           what	         O
         crisis	         O
              ?	         O

