             55	         O
         GIROUD	     S-PER
          AGAIN	         O
              !	         O
           This	         O
           time	         O
              ,	         O
            the	         O
      Frenchman	    S-MISC
             is	         O
             oh	         O
             so	         O
          close	         O
             as	         O
          Sagna	     S-PER
         breaks	         O
           down	         O
            the	         O
          flank	         O
            and	         O
          whips	         O
              a	         O
         superb	         O
          cross	         O
           into	         O
            the	         O
          area.	         O
         Giroud	     S-PER
         throws	         O
        himself	         O
             at	         O
            the	         O
           ball	         O
            and	         O
              ,	         O
           this	         O
           time	         O
              ,	         O
          comes	         O
      extremely	         O
          close	         O
              .	         O
           Wide	         O
             it	         O
           goes	         O
              .	         O

