             35	         O
           Goal	         O
        Ramires	     S-PER
           GOAL	         O
              !	         O
              !	         O
              !	         O
        Chelsea	     S-PER
         retake	         O
            the	         O
           lead	         O
              !	         O
         Hazard	     S-PER
        attacks	         O
            the	         O
           area	         O
           from	         O
            the	         O
           left	         O
            and	         O
       although	         O
             he	         O
      initially	         O
          looks	         O
             to	         O
           find	         O
          space	         O
            for	         O
              a	         O
           shot	         O
              ,	         O
             he	         O
      patiently	         O
          bides	         O
            his	         O
           time	         O
            and	         O
           cuts	         O
             as	         O
           pass	         O
           back	         O
             to	         O
        Ramires	     S-PER
             to	         O
         rifles	         O
              a	         O
       powerful	         O
           shot	         O
           past	         O
        Speroni	     S-PER
              .	         O

