             34	         O
           Nice	     S-ORG
       football	         O
             by	         O
         Palace	     S-PER
             as	         O
           they	         O
          steal	         O
             it	         O
           from	         O
        Chelsea	     S-ORG
            and	         O
         string	         O
              a	         O
           good	         O
           move	         O
       together	         O
              .	         O
        Chamakh	     S-PER
          picks	         O
            out	         O
              a	         O
           good	         O
           pass	         O
             to	         O
         Jerome	     S-PER
              ,	         O
            but	         O
            the	         O
     Englishman	    S-MISC
          gives	         O
     possession	         O
           back	         O
             to	         O
            the	         O
          hosts	         O
            too	         O
         easily	         O
              .	         O

