             73	         O
         Palace	         O
            are	         O
         giving	         O
           this	         O
          their	         O
            all	         O
            and	         O
             an	         O
      equaliser	         O
          would	         O
            not	         O
             be	         O
              a	         O
        massive	         O
          shock	         O
    considering	         O
          their	         O
    performance	         O
           thus	         O
            far	         O
              .	         O
        Chelsea	     S-ORG
           have	         O
           been	         O
           very	         O
     lacklustre	         O
              .	         O

