             61	         O
        Chelsea	     S-ORG
        penalty	         O
         claims	         O
            are	         O
         turned	         O
           down	         O
             by	         O
            the	         O
        referee	         O
             as	         O
       Ivanovic	     S-PER
          takes	         O
              a	         O
          hefty	         O
      challenge	         O
           from	         O
        Delaney	     S-PER
              ,	         O
            but	         O
            the	         O
       defender	         O
       appeared	         O
             to	         O
            win	         O
            the	         O
           ball	         O
              .	         O

