             58	         O
            Big	         O
         chance	         O
            for	         O
         Palace	     S-PER
              !	         O
            The	         O
      free-kick	         O
            was	         O
          fired	         O
             in	         O
           from	         O
            the	         O
           left	         O
          flank	         O
            and	         O
        Delaney	     S-PER
         headed	         O
             it	         O
             at	         O
           goal	         O
              ,	         O
            but	         O
           Cech	     S-PER
            got	         O
         behind	         O
             it	         O
             to	         O
           keep	         O
             it	         O
           out.	         O

