             40	         O
           Poor	         O
           play	         O
             by	         O
       Mariappa	     S-PER
             as	         O
             he	         O
          tries	         O
         shield	         O
            the	         O
           ball	         O
            out	         O
             of	         O
           play	         O
              ,	         O
            but	         O
         Hazard	     S-PER
         steals	         O
             it	         O
           from	         O
           him.	         O
            The	         O
        Belgian	    S-MISC
           runs	         O
         across	         O
            the	         O
         byline	         O
            and	         O
         passes	         O
           back	         O
             to	         O
        Willian	     S-PER
              ,	         O
            but	         O
            his	         O
           shot	         O
             is	         O
      deflected	         O
           into	         O
            the	         O
       clutches	         O
             of	         O
        Speroni	     S-PER
              .	         O

