             86	         O
           What	         O
              a	         O
         chance	         O
            for	         O
        Chelsea	     S-ORG
              !	         O
              A	         O
       ricochet	         O
          plays	         O
        Ramires	     S-PER
             in	         O
             on	         O
           goal	         O
            and	         O
           when	         O
             he	         O
          tries	         O
             to	         O
         square	         O
            the	         O
           ball	         O
             to	         O
          Oscar	     S-PER
              ,	         O
        Speroni	     S-PER
           gets	         O
           down	         O
            and	         O
     intercepts	         O
              .	         O
           Huge	         O
    opportunity	         O
              .	         O

