             20	         O
           More	         O
      promising	         O
           play	         O
             by	         O
         Torres	     S-PER
             as	         O
             he	         O
         bursts	         O
           into	         O
            the	         O
           area	         O
           with	         O
           Ward	     S-PER
             at	         O
            sea	         O
              .	         O
            The	         O
       Spaniard	    S-MISC
          tries	         O
             to	         O
            cut	         O
           back	         O
         inside	         O
              a	         O
       defender	         O
              ,	         O
            but	         O
             he	         O
             is	         O
   dispossessed	         O
              .	         O

