             50	         O
        Willian	     S-PER
             is	         O
            the	         O
         latest	         O
             to	         O
          cause	         O
        trouble	         O
           down	         O
            the	         O
           left	         O
              .	         O
          Again	         O
             he	         O
          pulls	         O
            the	         O
           ball	         O
           back	         O
             to	         O
           Mata	     S-PER
              ,	         O
            but	         O
            the	         O
       Spaniard	    S-MISC
           hits	         O
            the	         O
           ball	         O
           with	         O
            his	         O
          right	         O
           foot	         O
          first	         O
         before	         O
        sending	         O
             it	         O
           well	         O
           over	         O
           with	         O
            his	         O
           left	         O
              .	         O

