             25	         O
           Very	         O
         little	         O
        genuine	         O
       football	         O
          being	         O
         played	         O
           here	         O
             at	         O
            the	         O
         moment	         O
              .	         O
       Ivanovic	     S-PER
             is	         O
            the	         O
         latest	         O
             to	         O
           hoof	         O
              a	         O
           long	         O
           ball	         O
             up	         O
           from	         O
            the	         O
        defence	         O
            and	         O
             it	         O
          sails	         O
            all	         O
            the	         O
            way	         O
        through	         O
             to	         O
        Speroni	     S-PER
              .	         O

