             29	         O
           Goal	         O
       Marouane	     B-PER
        Chamakh	     E-PER
           GOAL	         O
              !	         O
              !	         O
              !	         O
        Crystal	     B-ORG
         Palace	     E-ORG
       equalise	         O
             at	         O
       Stamford	     B-LOC
         Bridge	     E-LOC
              !	         O
        Finally	         O
           they	         O
            got	         O
           good	         O
        numbers	         O
        forward	         O
            and	         O
           they	         O
           reap	         O
            the	         O
        rewards	         O
              !	         O
           Ward	     S-PER
            did	         O
           well	         O
             to	         O
            get	         O
           down	         O
            the	         O
           left	         O
            and	         O
             he	         O
         played	         O
              a	         O
           good	         O
            low	         O
          cross	         O
           into	         O
            the	         O
         centre	         O
              .	         O
        Chamakh	     S-PER
            ran	         O
        towards	         O
            the	         O
           ball	         O
            and	         O
         guided	         O
             it	         O
           into	         O
            the	         O
            far	         O
           side	         O
             of	         O
            the	         O
           goal	         O
              .	         O
         Lovely	     S-PER
         finish	         O
              !	         O

