             38	         O
         Palace	         O
            are	         O
          doing	         O
          their	         O
           best	         O
             to	         O
            put	         O
        Chelsea	     S-ORG
          under	         O
           some	         O
       pressure	         O
             in	         O
          order	         O
             to	         O
       equalise	         O
          again	         O
         before	         O
      half-time	         O
              ,	         O
            but	         O
          their	         O
      attackers	         O
            are	         O
        looking	         O
         rather	         O
       isolated	         O
              .	         O

