             21	         O
            Big	         O
         chance	         O
            for	         O
       Ivanovic	     S-PER
              !	         O
           Like	         O
         Torres	     S-PER
         before	         O
            him	         O
              ,	         O
             he	         O
         surged	         O
           into	         O
            the	         O
          right	         O
           side	         O
             of	         O
            the	         O
            box	         O
              ,	         O
            but	         O
        instead	         O
             of	         O
        wasting	         O
            the	         O
         chance	         O
             he	         O
          opted	         O
             to	         O
          shoot	         O
            and	         O
       narrowly	         O
         missed	         O
            the	         O
         bottom	         O
              -	         O
            far	         O
         corner	         O
              .	         O

