             17	         O
         Torres	     S-PER
            did	         O
           well	         O
             to	         O
         gamble	         O
            and	         O
     anticipate	         O
            the	         O
           ball	         O
         coming	         O
           back	         O
            off	         O
            the	         O
           post	         O
              .	         O
             He	         O
           made	         O
            the	         O
           most	         O
             of	         O
            the	         O
         chance	         O
            and	         O
        Chelsea	     S-ORG
            can	         O
          relax	         O
              a	         O
         little	         O
           once	         O
         again.	         O

