             54	         O
      Promising	         O
           move	         O
            for	         O
            the	         O
          hosts	         O
              .	         O
         Torres	     S-PER
       releases	         O
        Willian	     S-PER
           with	         O
              a	         O
     delightful	         O
     first-time	         O
          flick	         O
           down	         O
            the	         O
          right	         O
              .	         O
            The	         O
      Brazilian	    S-MISC
         drives	         O
           into	         O
            the	         O
           area	         O
            and	         O
        crosses	         O
              .	         O
         Hazard	     S-PER
       collects	         O
         before	         O
        cutting	         O
           back	         O
             to	         O
        Ramires	     S-PER
              ,	         O
            but	         O
         Palace	     S-PER
            get	         O
         bodies	         O
             in	         O
            the	         O
            way	         O
              .	         O

