             49	         O
          Well-	     S-PER
         worked	         O
           move	         O
             by	         O
        Chelsea	     S-ORG
             as	         O
         Hazard	     S-PER
             's	         O
          quick	         O
           feet	         O
         create	         O
          space	         O
             in	         O
            the	         O
           left	         O
           side	         O
             of	         O
            the	         O
          area.	         O
             He	         O
         flicks	         O
            the	         O
           ball	         O
             to	         O
        Willian	     S-PER
              ,	         O
            who	         O
             in	         O
           turn	         O
         knocks	         O
             it	         O
           back	         O
             to	         O
           Mata	     S-PER
              ,	         O
            but	         O
            the	         O
       eventual	         O
           shot	         O
             is	         O
      deflected	         O
            and	         O
        Speroni	     S-PER
          saves	         O
              .	         O

