              6	         O
          There	         O
            has	         O
           been	         O
           very	         O
         little	         O
        pattern	         O
             or	         O
           flow	         O
             to	         O
           this	         O
          match	         O
             so	         O
            far	         O
              .	         O
            One	         O
          would	         O
           have	         O
             to	         O
          think	         O
           that	         O
             it	         O
             is	         O
           only	         O
              a	         O
         matter	         O
             of	         O
           time	         O
         before	         O
        Chelsea	     S-ORG
         assert	         O
           some	         O
        control	         O
              ,	         O
        however	         O
              .	         O

