              8	         O
         Torres	     S-PER
           does	         O
            his	         O
           best	         O
             to	         O
          bring	         O
           down	         O
              a	         O
           long	         O
           ball	         O
           from	         O
            the	         O
        defence	         O
              .	         O
             He	         O
          makes	         O
              a	         O
            bit	         O
             of	         O
              a	         O
           mess	         O
             of	         O
             it	         O
              ,	         O
            but	         O
             he	         O
           does	         O
            win	         O
              a	         O
      free-kick	         O
           from	         O
       Dikgacoi	     S-LOC
              .	         O

