             44	         O
    Azpilicueta	     S-PER
          roams	         O
           down	         O
            the	         O
           left	         O
            and	         O
        crosses	         O
              .	         O
         Torres	     S-PER
       attempts	         O
              a	         O
          flick	         O
              ,	         O
            but	         O
            the	         O
           ball	         O
           ends	         O
             up	         O
           with	         O
            the	         O
      left-back	         O
         again.	         O
             He	         O
        crosses	         O
            for	         O
              a	         O
         second	         O
           time	         O
              ,	         O
            but	         O
           Ward	     S-PER
         knocks	         O
             it	         O
         behind	         O
            for	         O
              a	         O
         corner	         O
              .	         O

