             90	         O
        Delaney	     S-PER
           goes	         O
          close	         O
            for	         O
            the	         O
         fourth	         O
           time	         O
             as	         O
             he	         O
          comes	         O
             to	         O
            the	         O
           near	         O
           post	         O
            and	         O
         knocks	         O
              a	         O
       glancing	         O
         header	         O
        towards	         O
            the	         O
            top	         O
              -	         O
            far	         O
         corner	         O
              ,	         O
            but	         O
             it	         O
           goes	         O
           just	         O
           wide	         O
              .	         O

             90	         O
             +1	         O
            The	         O
      officials	         O
       announce	         O
          there	         O
           will	         O
             be	         O
           four	         O
        minutes	         O
             of	         O
          added	         O
          time.	         O

             90	         O
             +4	         O
        Chelsea	     S-ORG
            are	         O
         nearly	         O
          there	         O
              ,	         O
            but	         O
       Mourinho	     S-PER
            won	         O
             't	         O
             be	         O
        pleased	         O
           with	         O
          their	         O
        display	         O
              .	         O

             90	         O
             +5	         O
      FULL-TIME	         O
              !	         O
        Chelsea	     S-PER
           pick	         O
             up	         O
          three	         O
         points	         O
         thanks	         O
             to	         O
              a	         O
            2-1	         O
            win	         O
           over	         O
        Crystal	     B-ORG
         Palace	     E-ORG
             at	         O
       Stamford	     B-LOC
         Bridge	     E-LOC
              .	         O
           They	         O
         remain	         O
             in	         O
            the	         O
          fight	         O
            for	         O
            the	         O
          title	         O
              ,	         O
            but	         O
           they	         O
           were	         O
          lucky	         O
             to	         O
        acquire	         O
            the	         O
            win	         O
          today	         O
              .	         O
         Palace	     S-PER
            put	         O
             in	         O
             an	         O
      excellent	         O
        display	         O
            and	         O
       arguably	         O
            had	         O
            the	         O
         better	         O
        chances	         O
              .	         O
          Pulis	     S-PER
           will	         O
             be	         O
      delighted	         O
           with	         O
            his	         O
           team	         O
             's	         O
    performance	         O
              ,	         O
            but	         O
        Chelsea	     S-PER
           take	         O
            all	         O
            the	         O
         points	         O
              .	         O
         Thanks	         O
            for	         O
        joining	         O
             me	         O
          today	         O
              ,	         O
              I	         O
           hope	         O
            you	         O
           have	         O
        enjoyed	         O
            the	         O
         action	         O
              .	         O

