             28	         O
            And	         O
          there	         O
             is	         O
         Palace	     S-PER
             's	         O
          first	         O
           shot	         O
             at	         O
           goal	         O
              .	         O
         Jerome	     S-PER
             is	         O
        invited	         O
        forward	         O
            and	         O
             he	         O
          jinks	         O
             on	         O
             to	         O
            his	         O
          right	         O
           foot	         O
            and	         O
          fires	         O
           from	         O
       distance	         O
              ,	         O
            but	         O
             it	         O
             is	         O
           easy	         O
            for	         O
           Cech	     S-PER
             to	         O
           deal	         O
           with	         O
              .	         O

