             32	         O
      Excellent	         O
       battling	         O
             by	         O
        O'Keefe	     S-PER
             in	         O
            the	         O
         middle	         O
              .	         O
         Hazard	         O
      partially	         O
          holds	         O
            him	         O
            off	         O
              ,	         O
            but	         O
            the	         O
           ball	         O
           ends	         O
             up	         O
         coming	         O
          loose	         O
            and	         O
             he	         O
           puts	         O
             in	         O
              a	         O
    brilliantly	         O
              -	         O
          tough	         O
         tackle	         O
             on	         O
         Essien	    S-MISC
              .	         O

