             89	         O
       Integral	         O
         double	         O
           save	         O
             by	         O
        Speroni	     S-PER
              !	         O
        Ramires	     S-PER
        slipped	         O
       Schurrle	     S-PER
           into	         O
            the	         O
           area	         O
            and	         O
            the	         O
         German	    S-MISC
            hit	         O
            his	         O
           shot	         O
           into	         O
            the	         O
     goalkeeper	         O
             's	         O
           face	         O
              .	         O
             Ba	     S-PER
          looks	         O
             to	         O
         pounce	         O
             on	         O
            the	         O
        rebound	         O
              ,	         O
            but	         O
        Speroni	     S-PER
          saves	         O
           that	         O
             as	         O
           well	         O
              !	         O

