              9	         O
          Slack	     S-PER
           play	         O
           from	         O
        Chelsea	     S-ORG
             as	         O
        Willian	     S-PER
           cuts	         O
             in	         O
           from	         O
            the	         O
           left	         O
            and	         O
          plays	         O
            the	         O
           ball	         O
           into	         O
              a	         O
        central	         O
       position	         O
            for	         O
        Ramires	     S-PER
              .	         O
            The	         O
     midfielder	         O
     completely	         O
         misses	         O
            his	         O
        control	         O
            and	         O
         Palace	     S-PER
            win	         O
     possession	         O
           back	         O
              .	         O

