             26	         O
          VIDIC	     S-ORG
              !	         O
         Denied	         O
             by	         O
          Clark	     S-PER
              .	         O
           Fine	         O
      defending	         O
             to	         O
         thwart	         O
            the	         O
        Serbian	    S-MISC
              .	         O
         Rooney	     S-PER
       delivers	         O
             in	         O
            the	         O
      free-kick	         O
           with	         O
           pace	         O
              ,	         O
            but	         O
            the	         O
          Villa	     S-ORG
       defender	         O
           does	         O
           well	         O
             to	         O
           hold	         O
            his	         O
            own	         O
            and	         O
            get	         O
            the	         O
           ball	         O
           away	         O
              .	         O

