             44	         O
        PENALTY	         O
             TO	         O
     MANCHESTER	     B-ORG
         UNITED	     E-ORG

             44	         O
        PENALTY	         O
              -	         O
         YELLOW	         O
           CARD	         O
            for	         O
        Leandro	     B-PER
         Bacuna	     E-PER
              .	         O
           Mata	     S-PER
             is	         O
        upended	         O
             by	         O
            the	         O
       defender	         O
          after	         O
             he	         O
          fails	         O
             to	         O
            get	         O
             to	         O
            the	         O
           ball	         O
             in	         O
          time.	         O
         United	     S-ORG
           have	         O
              a	         O
         chance	         O
           just	         O
         before	         O
      half-time	         O
             to	         O
           take	         O
            the	         O
           lead	         O
              .	         O

             44	         O
         Yellow	         O
           Card	         O
        Leandro	     B-PER
         Bacuna	     E-PER

