             21	         O
         Relief	         O
           sets	         O
             at	         O
            Old	     B-LOC
       Trafford	     E-LOC
             as	         O
         United	     S-ORG
       equalise	         O
              .	         O
       Worrying	         O
      defensive	         O
    performance	         O
           from	         O
          Villa	     S-PER
          there	         O
             as	         O
          Clark	     S-PER
             is	         O
           left	         O
           with	         O
            two	         O
             to	         O
           mark	         O
              .	         O
        Instead	         O
              ,	         O
             he	         O
         leaves	         O
         Rooney	     S-PER
           free	         O
              ,	         O
            and	         O
            the	         O
           rest	         O
             is	         O
       history.	         O

