             23	         O
         United	     S-ORG
         upping	         O
            the	         O
           ante	         O
            now	         O
             as	         O
           they	         O
           seek	         O
             to	         O
           take	         O
            the	         O
           lead	         O
              .	         O
         Rooney	     S-PER
          drops	         O
           deep	         O
            and	         O
       attempts	         O
              a	         O
           neat	         O
        through	         O
           ball	         O
            for	         O
           Mata	     S-PER
              ,	         O
            who	         O
        embarks	         O
             on	         O
              a	         O
            run	         O
           into	         O
            the	         O
            box	         O
              .	         O
             It	         O
             is	         O
           well	         O
    intercepted	         O
             by	         O
            Ron	     B-PER
          Vlaar	     E-PER
              .	         O

