             77	         O
        BENTEKE	     B-PER
              !	     I-PER
             Oh	     E-PER
              ,	         O
             he	         O
      continues	         O
             to	         O
             be	         O
     profligate	         O
             in	         O
          front	         O
             of	         O
           goal	         O
              .	         O
          Jones	     S-PER
          plays	         O
        Benteke	     S-PER
         onside	         O
             as	         O
             he	         O
        latches	         O
           onto	         O
              a	         O
          loose	         O
           ball	         O
              .	         O
        Carrick	     S-PER
           lets	         O
            him	         O
             go	         O
            for	         O
             De	     B-PER
            Gea	     E-PER
              ,	         O
            who	         O
        remains	         O
         rooted	         O
             to	         O
            the	         O
           spot	         O
              ,	         O
            but	         O
        Benteke	     S-PER
          makes	         O
        another	         O
           hash	         O
             of	         O
            the	         O
    opportunity	         O
              .	         O

