             48	         O
          Clark	     S-PER
       concedes	         O
              a	         O
      free-kick	         O
            for	         O
              a	         O
           foul	         O
             on	         O
         Rooney	     S-PER
              .	         O
           Phil	     B-PER
          Jones	     E-PER
       provides	         O
            the	         O
           long	         O
           pass	         O
        forward	         O
            for	         O
         Rooney	     S-PER
             to	         O
        attempt	         O
             to	         O
          latch	         O
           onto	         O
              ,	         O
            but	         O
          Guzan	     S-PER
         claims	         O
           well	         O
              .	         O

