             47	         O
   SUBSTITUTION	         O
              -	         O
            Man	         O
            Utd	         O
              :	         O
         Rafael	     S-PER
            has	         O
           been	         O
        replaed	         O
             by	         O
        Michael	     B-PER
        Carrick	     E-PER
              .	         O
           Phil	     B-PER
          Jones	     E-PER
        reverts	         O
             to	         O
            the	         O
          right	         O
           back	         O
           role	         O
              .	         O

