             57	         O
           Goal	         O
           Juan	     B-PER
           Mata	     E-PER
           GOAL	         O
              !	         O
              !	         O
            Man	     B-ORG
            Utd	     E-ORG
            3-1	         O
          Villa	     S-PER
              -	         O
           JUAN	     B-PER
           MATA	     E-PER
              !	         O
              !	         O
        Finally	         O
              ,	         O
           Mata	     S-PER
         breaks	         O
            his	         O
         United	     S-ORG
       deadlock	         O
              ,	         O
            his	         O
          first	         O
           goal	         O
            for	         O
            the	         O
            Red	    B-MISC
         Devils	    I-MISC
              .	    I-MISC
           Fine	    E-MISC
       movement	         O
           from	         O
       Fellaini	     S-PER
              ,	         O
            who	         O
           gets	         O
             it	         O
        towards	         O
            the	         O
         number	         O
          eight	         O
              ,	         O
            and	         O
          after	         O
              a	         O
            bit	         O
             of	         O
      confusion	         O
             in	         O
            the	         O
            box	         O
              ,	         O
             he	         O
          fires	         O
           into	         O
            the	         O
         bottom	         O
         corner	         O
              .	         O

