             18	         O
          First	         O
           real	         O
         chance	         O
            for	         O
         United	     S-ORG
             as	         O
          Young	         O
        gallops	         O
           away	         O
             on	         O
            the	         O
           near	         O
           side	         O
              ,	         O
            and	         O
       delivers	         O
             in	         O
              a	         O
            low	         O
          cross	         O
            for	         O
         Rooney	     S-PER
              .	         O
          Guzan	     S-PER
         rushes	         O
            out	         O
            and	         O
         claims	         O
              ,	         O
            but	         O
             he	         O
             is	         O
           hurt	         O
          after	         O
              a	         O
      collision	         O
           with	         O
            the	         O
        England	     S-LOC
        striker	         O
              .	         O

