             54	         O
        BENTEKE	     S-ORG
              !	         O
     Albrighton	     S-PER
            has	         O
           been	         O
              a	         O
        massive	         O
         threat	         O
             on	         O
            the	         O
           wing	         O
              .	         O
        Another	         O
         superb	         O
       delivery	         O
             as	         O
        Benteke	     S-PER
           gets	         O
             on	         O
            top	         O
             of	         O
          Vidic	     S-PER
             to	         O
           head	         O
       narrowly	         O
           over	         O
            the	         O
       crossbar	         O
              .	         O
             It	         O
            was	         O
              a	         O
      fantastic	         O
         chance	         O
              .	         O

