             20	         O
           Goal	         O
          Wayne	     B-PER
         Rooney	     E-PER
           GOAL	         O
              !	         O
            Man	     B-ORG
            Utd	     E-ORG
            1-1	         O
          Aston	     B-ORG
          Villa	     E-ORG
              -	         O
         ROONEY	     S-PER
              !	         O
         Lovely	         O
         period	         O
             of	         O
      attacking	         O
      dominance	         O
           from	         O
         United	     B-ORG
              .	     I-ORG
         Kagawa	     E-ORG
              ,	         O
             at	         O
        walking	         O
           pace	         O
       delivers	         O
             in	         O
              a	         O
           fine	         O
          cross	         O
        towards	         O
         Rooney	     S-PER
              ,	         O
            who	         O
        glances	         O
             it	         O
           into	         O
            the	         O
         bottom	         O
         corner	         O
              .	         O
            His	         O
           16th	         O
             of	         O
            the	         O
        season.	         O

