             90	         O
          Three	         O
        minutes	         O
          added	         O
             on	         O
             at	         O
            the	         O
            end	         O
             of	         O
            the	         O
         second	         O
           half	         O
              .	         O

             90	         O
             +1	         O
           Goal	         O
         Javier	     B-PER
             'C	     E-PER
      hicharito	         O
              '	         O
      Hernandez	     S-PER
           GOAL	         O
              !	         O
            Man	     B-ORG
            Utd	     E-ORG
            4-1	         O
          Aston	     B-ORG
          Villa	     E-ORG
              -	         O
      HERNANDEZ	     S-PER
              !	         O
        Januzaj	     S-PER
          skips	         O
           past	         O
            the	         O
       defender	         O
            and	         O
         drills	         O
             in	         O
              a	         O
          cross	         O
        towards	         O
            the	         O
           back	         O
           post	         O
              .	         O
      Hernandez	     S-PER
          turns	         O
             it	         O
             in	         O
              ,	         O
            and	         O
           that	         O
           puts	         O
            the	         O
          stamp	         O
             on	         O
              a	         O
     convincing	         O
            win	         O
            for	         O
            the	         O
          hosts	         O
              .	         O

             90	         O
             +2	         O
            For	         O
          Aston	     B-ORG
          Villa	     E-ORG
              ,	         O
             it	         O
             's	         O
            the	         O
         second	         O
           week	         O
             in	         O
              a	         O
            row	         O
           that	         O
           they	         O
            've	         O
         scored	         O
          first	         O
            and	         O
           went	         O
             on	         O
             to	         O
           lose	         O
           4-1.	         O

             90	         O
             +3	         O
         YELLOW	         O
           CARD	         O
              -	         O
         Lowton	     S-PER
              .	         O
            The	         O
     substitute	         O
          picks	         O
             up	         O
              a	         O
        booking	         O
            for	         O
              a	         O
           late	         O
      challenge	         O
              .	         O

             90	         O
             +4	         O
      FULL-TIME	         O
              :	         O
            Man	     B-ORG
            Utd	     E-ORG
            4-1	         O
          Aston	     B-ORG
          Villa	     E-ORG
              .	         O
              A	         O
     convincing	         O
      scoreline	         O
              .	         O
             It	         O
             's	         O
           been	         O
             'p	         O
           lane	         O
              '	         O
        sailing	         O
            for	         O
            the	         O
          hosts	         O
              ,	         O
         indeed	         O
              !	         O

