             83	         O
           With	         O
         Rooney	     S-PER
            and	         O
         Kagawa	     S-PER
            now	         O
         rested	         O
              ,	         O
      attention	         O
          turns	         O
             to	         O
          their	         O
           UEFA	    B-MISC
      Champions	    I-MISC
         League	    E-MISC
  quarter-final	         O
        against	         O
        holders	         O
         Bayern	     B-ORG
         Munich	     E-ORG
              ,	         O
            who	         O
            are	         O
       unbeaten	         O
            all	         O
         season	         O
            and	         O
        wrapped	         O
             up	         O
            the	         O
     Bundesliga	    S-MISC
          title	         O
             in	         O
        midweek	         O
              .	         O

