             65	         O
           Wild	         O
         tackle	         O
             by	         O
         Lowton	     S-PER
             as	         O
             he	         O
           goes	         O
             in	         O
           hard	         O
             on	         O
        Januzaj	     S-PER
              ,	         O
            who	         O
          looks	         O
             to	         O
           slip	         O
           away	         O
              ,	         O
            and	         O
            the	         O
          Villa	     S-PER
      full-back	         O
           gets	         O
        himself	         O
              a	         O
        booking	         O
              .	         O

