             71	         O
          GUZAN	     S-LOC
              !	         O
           Fine	         O
           save	         O
             to	         O
           deny	         O
          Wayne	     B-PER
         Rooney	     E-PER
            his	         O
      hat-trick	         O
              .	         O
         Lovely	     S-PER
          touch	         O
             to	         O
          bring	         O
           down	         O
            the	         O
           ball	         O
             in	         O
        amongst	         O
            the	         O
      defenders	         O
            and	         O
         strike	         O
             at	         O
           goal	         O
              ,	         O
            but	         O
          Guzan	     S-PER
        spreads	         O
        himself	         O
             to	         O
         thwart	         O
            the	         O
       attacker	         O
              .	         O

             71	         O
   Substitution	         O
            Out	         O
        Gabriel	     B-PER
     Agbonlahor	     I-PER
             In	     I-PER
      Alexandar	     I-PER
          Tonev	     E-PER

