              9	         O
         United	     S-ORG
           have	         O
              a	         O
      free-kick	         O
             on	         O
           this	         O
           near	         O
           side	         O
              .	         O
         Curled	         O
             in	         O
             by	         O
           Juan	     B-PER
           Mata	     E-PER
              ,	         O
             it	         O
             is	         O
         helped	         O
             on	         O
             by	         O
         Rooney	     S-PER
              .	         O
          Villa	     S-PER
       struggle	         O
             to	         O
            get	         O
             it	         O
           away	         O
              ,	         O
           with	         O
          Vidic	     S-PER
         aiming	         O
             to	         O
        reclaim	         O
     possession	         O
              ,	         O
            but	         O
            the	         O
           ball	         O
           goes	         O
            out	         O
            for	         O
              a	         O
          throw	         O
              -	         O
            in.	         O

