             57	         O
        Welbeck	     S-PER
         almost	         O
           gets	         O
            his	         O
      hat-trick	         O
         chance	         O
             as	         O
         Rafael	     S-PER
         surges	         O
             in	         O
         behind	         O
            the	         O
          nervy	         O
           Luna	     S-LOC
              .	         O
            The	         O
      Brazilian	    S-MISC
           cuts	         O
            the	         O
           ball	         O
           back	         O
              ,	         O
            but	         O
            his	         O
      team-mate	         O
             's	         O
       eventual	         O
           shot	         O
             is	         O
        blocked	         O
             by	         O
          Baker	     S-PER
              .	         O

