             52	         O
           Goal	         O
            Tom	     B-PER
      Cleverley	     E-PER
           GOAL	         O
              !	         O
              !	         O
              !	         O
     Manchester	     B-ORG
         United	     E-ORG
            get	         O
              a	         O
          third	         O
              !	         O
         Rooney	     S-PER
          shows	         O
          great	         O
      awareness	         O
             to	         O
           feed	         O
              a	         O
          well-	         O
       weighted	         O
           pass	         O
           into	         O
            the	         O
           area	         O
            for	         O
      Cleverley	     S-PER
            and	         O
            the	         O
     midfielder	         O
          slots	         O
           past	         O
          Guzan	    S-MISC
           with	         O
              a	         O
       composed	         O
         finish	         O
              .	         O

