              7	         O
           Good	         O
           move	         O
             by	         O
         United	     S-ORG
              .	         O
        Januzaj	     S-PER
           cuts	         O
         inside	         O
            and	         O
          plays	         O
            the	         O
           ball	         O
           over	         O
             to	         O
            the	         O
          right	         O
            for	         O
       Valencia	     S-LOC
              .	         O
             He	         O
          slips	         O
         Rooney	     S-PER
           into	         O
            the	         O
           area	         O
              ,	         O
            who	         O
          chips	         O
              a	         O
          cross	         O
             to	         O
            the	         O
            far	         O
           post	         O
              ,	         O
            but	         O
          Giggs	     S-PER
            isn	         O
             't	         O
          given	         O
           much	         O
             of	         O
              a	         O
         chance	         O
             to	         O
        connect	         O
           with	         O
            it.	         O

