              2	         O
          There	         O
             is	         O
            the	         O
          match	         O
             's	         O
          first	         O
           shot	         O
             as	         O
             El	     S-LOC
              -	         O
         Ahmadi	     S-PER
          tries	         O
            his	         O
           luck	         O
           from	         O
             25	         O
          yards	         O
              ,	         O
            but	         O
             De	     B-PER
            Gea	     E-PER
          stops	         O
             it	         O
           with	         O
           ease	         O
              .	         O

