             25	         O
         Clever	         O
           feet	         O
           from	         O
        Welbeck	     S-PER
             in	         O
            the	         O
         centre	         O
             as	         O
             he	         O
         flicks	         O
            the	         O
           ball	         O
           past	         O
            two	         O
      defenders	         O
              .	         O
             He	         O
             is	         O
         caught	         O
             by	         O
            one	         O
              ,	         O
            but	         O
             he	         O
             is	         O
            not	         O
          given	         O
              a	         O
      free-kick	         O
              ,	         O
   surprisingly	         O
              .	         O

