             37	         O
           Good	         O
           play	         O
             by	         O
        Januzaj	     S-PER
             as	         O
             he	         O
        carries	         O
     possession	         O
           into	         O
            the	         O
          final	         O
          third	         O
             on	         O
            the	         O
           left	         O
              .	         O
             El	     S-LOC
              -	         O
         Ahmadi	     S-PER
             is	         O
            all	         O
           over	         O
            the	         O
          young	         O
        Belgian	    S-MISC
              ,	         O
            and	         O
             he	         O
       concedes	         O
              a	         O
      free-kick	         O
              .	         O

