             40	         O
             We	         O
            are	         O
         having	         O
              a	         O
          brief	         O
          pause	         O
             in	         O
           play	         O
            now	         O
             as	         O
          Baker	     S-PER
          seeks	         O
        medical	         O
      attention	         O
              .	         O
          Sylla	     S-PER
       appeared	         O
             to	         O
   accidentally	         O
           knee	         O
            him	         O
             on	         O
            the	         O
           back	         O
             of	         O
            the	         O
           head	         O
              .	         O

