              4	         O
            And	         O
          there	         O
             is	         O
        another	         O
           shot	         O
           from	         O
          Villa	     S-PER
              .	         O
     Albrighton	     S-PER
       controls	         O
            the	         O
           ball	         O
             on	         O
            the	         O
           edge	         O
             of	         O
            the	         O
           area	         O
              ,	         O
          spins	         O
            and	         O
          fires	         O
         across	         O
            the	         O
           goal	         O
              ,	         O
            but	         O
             De	     B-PER
            Gea	     E-PER
           gets	         O
           down	         O
             to	         O
           make	         O
            the	         O
           save	         O
              .	         O

