             38	         O
         Rooney	     S-PER
             's	         O
             in	         O
              -	         O
       swinging	         O
       delivery	         O
             is	         O
              a	         O
           good	         O
            one	         O
            and	         O
             it	         O
             is	         O
        flicked	         O
             on	         O
              ,	         O
            but	         O
           Evra	     S-PER
             's	         O
       eventual	         O
        looping	         O
         header	         O
             is	         O
      collected	         O
         easily	         O
             by	         O
          Guzan	     S-PER
              .	         O

