             64	         O
          Villa	     S-PER
           look	         O
             to	         O
           have	         O
              a	         O
    threatening	         O
         attack	         O
        opening	         O
             up	         O
             as	         O
        Benteke	     S-PER
           gets	         O
            the	         O
           ball	         O
             30	         O
          yards	         O
           from	         O
           goal	         O
              ,	         O
            but	         O
            the	         O
      excellent	         O
           Phil	     B-PER
          Jones	     E-PER
          comes	         O
         across	         O
            and	         O
         clears	         O
              .	         O

