             47	         O
          There	         O
             is	         O
            the	         O
         second	         O
           half	         O
             's	         O
          first	         O
        attempt	         O
              .	         O
     Albrighton	     S-PER
         steals	         O
            the	         O
           ball	         O
            off	         O
           Evra	    S-MISC
            and	         O
        crosses	         O
             to	         O
            the	         O
            far	         O
           post	         O
              ,	         O
            but	         O
          Sylla	     S-PER
          heads	         O
           wide	         O
             of	         O
            the	         O
         target	         O
              .	         O

